slug,name,category,category_id,category_label,artifact_type,catalog_status,lifecycle,description,best_for,use_cases,ecosystems,capabilities,license,pricing,installation,supported_php,website,repository,packagist,latest_version,latest_release_tag,stars,repo_updated_at,reviewed_at,successor_of,supersedes
composer-unused,Composer-Unused,Bugs finders,bug-finders,Bug finders,analyzer,current,Quiet,Show unused composer dependencies by scanning your code,,dependency-analysis,composer,,,,composer require --dev icanhazstring/composer-unused,^8.1,https://github.com/composer-unused/composer-unused,https://github.com/composer-unused/composer-unused,https://packagist.org/packages/icanhazstring/composer-unused,0.9.6,0.9.6,1684,2026-04-27T02:02:52Z,2026-08-08,,
coverage-checker,Coverage Checker,Misc,misc,Specialized tools,,historical,Historical,Allows old code to use new standards,,,,,,,composer require --dev exussum12/coverage-checker,>=8.1,https://github.com/exussum12/coverageChecker,https://github.com/exussum12/coverageChecker,https://packagist.org/packages/exussum12/coverage-checker,1.1.1,1.1.1,176,2024-06-25T15:13:32Z,,,
coverage-guard,Coverage Guard,Misc,misc,Specialized tools,analyzer,adjacent,Active,"🧪 Enforce PHP code coverage in your CI. Not by percentage, but target core methods! Allows you to start enforcing coverage for new code only!   Also contains tooling to merge and convert PHPUnit coverage files.",Adjacent test-quality gating for critical methods and newly changed PHP code.,test-coverage|quality-gates,phpunit,,,,composer require --dev shipmonk/coverage-guard,^8.1,https://github.com/shipmonk-rnd/coverage-guard,https://github.com/shipmonk-rnd/coverage-guard,https://packagist.org/packages/shipmonk/coverage-guard,1.1.0,1.1.0,56,2026-07-17T13:17:04Z,2026-08-08,,
deepsource,DeepSource,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,"DeepSource checks PHP projects for code-health and security issues, then reports test coverage and maintainability.","Continuous PHP static analysis, SAST, and coverage reporting",code-quality|security|test-coverage,generic,,,,,,https://deepsource.com/directory/php,,,,,0,,2026-08-08,,
dephpend,dePHPend,Metrics,metrics,Metrics and architecture,metrics,current,Inactive,"Detect flaws in your architecture, before they drag you down into the depths of dependency hell ...",,dependency-analysis|architecture,generic,,,,composer require --dev dephpend/dephpend,^8.2,https://github.com/mihaeu/dephpend,https://github.com/mihaeu/dephpend,https://packagist.org/packages/dephpend/dephpend,0.9.0,0.9.0,532,2026-01-28T21:41:06Z,2026-08-08,,
deptrac,Deptrac,Architecture rules,architecture-rules,Architecture rules,analyzer,current,Active,Keep your architecture clean.,,architecture|dependency-analysis,generic,,,,composer require --dev deptrac/deptrac,^8.2,https://github.com/sensiolabs-de/deptrac.git,https://github.com/deptrac/deptrac,https://packagist.org/packages/deptrac/deptrac,4.7.1,4.7.1,2988,2026-07-23T20:51:34Z,2026-08-08,,
easycodingstandard,EasyCodingStandard,Coding standards,coding-standards,Coding standards,orchestrator,current,Active,"ECS runs PHP-CS-Fixer and PHP_CodeSniffer as a single, parallel fast tool with zero dependencies. Run on PHP 7.2+",,code-style|autofix,phpcs|php-cs-fixer,,,,,,https://github.com/Symplify/EasyCodingStandard,https://github.com/ecsphp/ecs,,,13.2.15,1619,2026-07-22T20:02:46Z,2026-08-08,,
editorconfig-checker,editorconfig-checker,Coding standards,coding-standards,Coding standards,analyzer,current,Active,A tool to verify that your files are in harmony with your .editorconfig,,code-style,editorconfig,,,,composer require --dev editorconfig-checker/editorconfig-checker,^7.2 || ^8.0,https://editorconfig-checker.github.io/,https://github.com/editorconfig-checker/editorconfig-checker.php,https://packagist.org/packages/editorconfig-checker/editorconfig-checker,10.7.0,10.7.0,75,2026-05-28T22:04:18Z,2026-08-08,,
exakat,Exakat,Bugs finders,bug-finders,Bug finders,,historical,Historical,"Legacy repository for the Exakat PHP static-analysis engine, superseded by exakat-ce.",,,,,,,,,http://www.exakat.io/,https://github.com/exakat/exakat,,,,380,2022-03-24T09:32:24Z,,,
fixtro,Fixtro,Misc,misc,Specialized tools,,historical,Historical,"A QA static analysis code, with a different approach",,,,,,,composer require --dev karlosagudo/fixtro,^7.0,https://github.com/karlosagudo/fixtro,https://github.com/karlosagudo/fixtro,https://packagist.org/packages/karlosagudo/fixtro,1.0.11,1.0.11,23,2019-03-02T11:30:19Z,,,
functionfqnreplacer,FunctionFQNReplacer,Fixers,fixers,Fixers and refactoring,,historical,Historical,provides a way to replace relative references of functions in function calls with absolute references,,,,,,,,,https://github.com/Roave/FunctionFQNReplacer,https://github.com/Roave/FunctionFQNReplacer,,,,158,2017-07-05T06:04:52Z,,,
glayzzle-php-parser,Glayzzle PHP Parser (Node.js),Misc,misc,Specialized tools,library,current,Active,PHP parser written for Node.js that extracts tokens and an abstract syntax tree.,JavaScript and Node.js tooling that needs to parse PHP without running PHP.,parsing|ast,nodejs|php,,,,,,https://php-parser.glayzzle.com/,https://github.com/glayzzle/php-parser,,,v3.7.0,563,2026-08-05T18:20:34Z,2026-08-08,,
grumphp,GrumPHP,Misc,misc,Specialized tools,orchestrator,current,Active,A PHP code-quality tool,Running a project’s PHP quality tools before code is committed,quality-gates|git-hooks,composer,,,,composer require --dev phpro/grumphp,~8.2.0 || ~8.3.0 || ~8.4.0 || ~8.5.0,https://github.com/phpro/grumphp,https://github.com/phpro/grumphp,https://packagist.org/packages/phpro/grumphp,v2.23.0,v2.23.0,4306,2026-07-22T11:37:34Z,2026-08-08,,
hhvm,HHVM,Misc,misc,Specialized tools,runtime,historical,Historical,A virtual machine for executing programs written in Hack.,Historical reference: HHVM included static code analysis through version 3.3.8; newer versions do not.,historical-reference,hack,historical-static-analysis,,,,No current PHP support; HHVM ended PHP support after version 3.30.,https://hhvm.com/,https://github.com/facebook/hhvm,,,HHVM-3.15.0,18653,2026-08-06T03:58:40Z,2026-08-08,,
insight,SymfonyInsight,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,"Hosted static and dynamic analysis for PHP projects, with deeper support for Symfony applications.","Continuous PHP and Symfony quality, security, performance, and upgrade reports.",code-quality|security|performance,symfony|generic,static-analysis|dynamic-analysis|security-reports|upgrade-reports,,Paid per-project plans; current pricing is published on the official site.,,,https://insight.symfony.com/,,,,,0,,2026-08-08,,
jakzal-phpqa,jakzal/phpqa,Misc,misc,Specialized tools,orchestrator,current,Active,Docker image that provides static analysis tools for PHP,Running a ready-made PHP analysis toolchain in Docker,quality-gates,docker,,,,,,https://hub.docker.com/r/jakzal/phpqa/,https://github.com/jakzal/phpqa,,,v1.124.1,1319,2026-08-03T06:22:09Z,2026-08-08,,
jscpd,jscpd,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,"Copy/paste detector for programming source code, supports 223 formats. AI-ready with token-efficient reporter, skill and MCP server.",,duplication,generic,,MIT,,,,https://github.com/kucherenko/jscpd,https://github.com/kucherenko/jscpd,,,v5.0.14,5980,2026-08-07T03:11:03Z,2026-08-08,,
larastan,Larastan,Misc,misc,Specialized tools,extension,current,Active,⚗️ Adds code analysis to Laravel improving developer productivity and code quality.,,type-analysis|bug-detection,phpstan|laravel,,,,composer require --dev larastan/larastan,^8.2,https://github.com/larastan/larastan,https://github.com/larastan/larastan,https://packagist.org/packages/larastan/larastan,v3.10.0,v3.10.0,6481,2026-07-30T01:36:43Z,2026-08-08,,
laravel-pint,Laravel Pint,Fixers,fixers,Fixers and refactoring,fixer,current,Active,Opinionated PHP code-style fixer maintained by Laravel and built on PHP-CS-Fixer.,Laravel projects that want a low-configuration formatter with framework-oriented defaults.,code-style|autofix,laravel|php-cs-fixer,code-formatting|preset-rules|changed-files|test-mode,MIT,Free and open source,composer require laravel/pint --dev,^8.2.0,https://laravel.com/docs/pint,https://github.com/laravel/pint,https://packagist.org/packages/laravel/pint,v1.30.4,v1.30.4,3149,2026-08-05T17:06:32Z,2026-08-08,,
laravelshift,Laravelshift,SaaS,hosted-services,Hosted analysis services,hosted-service,current,Unknown,the automated way to upgrade Laravel applications. Upgrade Laravel applications all the way from Laravel 4.2 to the latest version of Laravel,,upgrade|refactoring,laravel,,,,,,https://laravelshift.com/,,,,,0,,2026-08-08,,
mago,mago,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,Mago is a toolchain for PHP that aims to provide a set of tools to help developers write better code.,,bug-detection|type-analysis|code-style,generic,,Apache-2.0,,composer require --dev carthage-software/mago,~8.1 || ~8.2 || ~8.3 || ~8.4 || ~8.5 || ~8.6,http://mago.carthage.software/,https://github.com/carthage-software/mago,https://packagist.org/packages/carthage-software/mago,1.46.0,1.46.0,3371,2026-08-08T06:12:16Z,2026-08-08,,
name-collision-detector,name-collision-detector,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,Fast & simple tool to find class duplicates in your projects.,,namespace-collisions,composer,,,,composer require --dev shipmonk/name-collision-detector,^7.2 || ^8.0,https://github.com/shipmonk-rnd/name-collision-detector,https://github.com/shipmonk-rnd/name-collision-detector,https://packagist.org/packages/shipmonk/name-collision-detector,2.1.1,2.1.1,35,2026-06-23T07:57:04Z,2026-08-08,,
noverify,noverify,Bugs finders,bug-finders,Bug finders,analyzer,current,Inactive,Pretty fast linter (code static analysis utility) for PHP,,bug-detection|type-analysis,generic,,,,composer require --dev vkcom/noverify,>=7.1,https://github.com/VKCOM/noverify,https://github.com/VKCOM/noverify,https://packagist.org/packages/vkcom/noverify,v0.5.5,v0.5.5,688,2026-01-19T13:58:35Z,2026-08-08,,
opengrep,Opengrep,Misc,misc,Specialized tools,analyzer,current,Active,🔎 Static code analysis engine to find security issues in code.,,security|custom-rules,generic,,,,,,https://github.com/opengrep/opengrep,https://github.com/opengrep/opengrep,,,v1.26.0,2886,2026-08-07T16:03:08Z,2026-08-08,,
pahout,Pahout,Coding standards,coding-standards,Coding standards,,historical,Historical,A pair programming partner for writing better PHP. Pahout means PHP mahout :elephant:,,,,,,,composer require --dev wata727/pahout,>=7.1.0,https://github.com/wata727/pahout,https://github.com/wata727/pahout,https://packagist.org/packages/wata727/pahout,0.7.0,0.7.0,48,2020-06-26T11:13:16Z,,,
pdepend,PDepend,Metrics,metrics,Metrics and architecture,metrics,current,Active,"PHP_Depend is an adaptation of the established Java development tool JDepend. This tool shows you the quality of your design in terms of extensibility, reusability and maintainability.",Measuring PHP design quality and dependency structure,metrics|complexity|dependency-analysis,generic,,,,composer require --dev pdepend/pdepend,>=5.3.7,https://pdepend.org/,https://github.com/pdepend/pdepend,https://packagist.org/packages/pdepend/pdepend,2.16.2,2.16.2,958,2026-08-02T20:09:30Z,2026-08-08,,
pfff,Pfff,Bugs finders,bug-finders,Bug finders,,historical,Historical,"Tools for code analysis, visualizations, or style-preserving source transformation.",,,,,,,,,https://github.com/facebook/pfff,https://github.com/facebookarchive/pfff,,,v0.29,2437,2019-03-27T23:04:23Z,,,
phan,Phan,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,Phan is a static analyzer for PHP. Phan prefers to avoid false-positives and attempts to prove incorrectness rather than correctness.,,bug-detection|type-analysis,generic,,,,composer require --dev phan/phan,^8.1.0,https://github.com/etsy/phan,https://github.com/phan/phan,https://packagist.org/packages/phan/phan,6.0.7,6.0.7,5619,2026-07-20T21:21:07Z,2026-08-08,,
phanalist,phanalist,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,"Performant static analyzer for PHP, which is extremely easy to use. It helps you catch common mistakes in your PHP code.",,bug-detection,generic,,,,composer require --dev denzyl/phanalist,,https://denzyldick.github.io/phanalist/,https://github.com/denzyldick/phanalist,https://packagist.org/packages/denzyl/phanalist,v1.1.10,v1.1.10,161,2026-08-04T20:30:49Z,2026-08-08,,
php-analysis,PHP Analysis,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,PHP language analyses in Rascal,,language-analysis,rascal,,,,,,https://github.com/cwi-swat/php-analysis,https://github.com/cwi-swat/php-analysis,,,v1.1.0,29,2026-05-13T14:03:04Z,2026-08-08,,
php-architecture-tester,PHP Architecture Tester,Architecture rules,architecture-rules,Architecture rules,analyzer,current,Active,✔️ PHP Architecture Tester - Easy architecture testing for PHP,,architecture,generic,,,,composer require --dev carlosas/phpat,^8.1,https://phpat.dev,https://github.com/carlosas/phpat,https://packagist.org/packages/carlosas/phpat,0.12.4,0.12.4,1273,2026-07-30T08:36:47Z,2026-08-08,,
php-assumption,PHP Assumption,Bugs finders,bug-finders,Bug finders,,historical,Historical,Tool to detect assumptions,,,,,,,composer require --dev rskuipers/php-assumptions,,https://github.com/rskuipers/php-assumptions.git,https://github.com/rskuipers/php-assumptions,https://packagist.org/packages/rskuipers/php-assumptions,0.9.1,0.9.1,164,2025-03-22T15:16:44Z,,,
php-ast,php-ast,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,Native PHP extension that exposes the abstract syntax tree generated by the PHP engine.,Analyzer authors who need the engine AST; Phan is a prominent consumer.,parsing|ast,php-extension,native-ast|php-engine-parser,BSD-3-Clause,Free and open source,pecl install ast,>= 7.2.0,https://github.com/nikic/php-ast,https://github.com/nikic/php-ast,https://packagist.org/packages/nikic/php-ast,v1.1.3,v1.1.3,980,2026-06-27T19:34:01Z,2026-08-08,,
php-backslasher,PHP BackSlasher,Fixers,fixers,Fixers and refactoring,,historical,Historical,[Git hook] Tool to add all PHP internal functions and constants to its namespace by adding backslash to them.,,,,,,,composer require --dev nilportugues/php_backslasher,>=5.4,https://github.com/nilportugues/php-backslasher,https://github.com/nilportugues/php-backslasher,https://packagist.org/packages/nilportugues/php_backslasher,1.1.4,1.1.4,88,2020-04-21T20:40:00Z,,,
php-cfg,PHP-cfg,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,A Control Flow Graph implementation in PHP,,control-flow-analysis,generic,,,,composer require ircmaxell/php-cfg,>=7.4,https://github.com/ircmaxell/php-cfg,https://github.com/ircmaxell/php-cfg,https://packagist.org/packages/ircmaxell/php-cfg,V0.8.1,V0.8.1,246,2026-08-01T07:01:01Z,2026-08-08,,
php-class-dependencies-analyzer,php-class-dependencies-analyzer,Metrics,metrics,Metrics and architecture,metrics,current,Inactive,This tool allows you to monitor the dependencies and instability of your classes,,dependency-analysis|architecture,generic,,,,,,https://php-quality-tools.com/class-dependencies-analyzer/,https://github.com/DeGraciaMathieu/php-class-dependencies-analyzer,,,,21,2026-01-06T08:52:37Z,2026-08-08,,
php-code-sniffer,PHP_CodeSniffer (legacy repository),Coding standards,coding-standards,Coding standards,analyzer,historical,Historical,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,,code-style,phpcs,,,,,,https://github.com/squizlabs/PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer,,,3.7.2,10770,2024-04-01T20:37:32Z,2026-08-08,,
php-compat-info,php-compat-info,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,Library that find out the minimum version and the extensions required for a piece of code to run,,php-version-compatibility|dependency-analysis,composer,,,,,,https://llaville.github.io/php-compatinfo/7.2/,https://github.com/llaville/php-compatinfo,,,7.2.6,380,2026-05-20T15:35:41Z,2026-08-08,,
php-compatibility,PHP Compatibility,Bugs finders,bug-finders,Bug finders,ruleset,current,Active,PHP Compatibility check for PHP_CodeSniffer,,php-version-compatibility,phpcs,,,,composer require --dev phpcompatibility/php-compatibility,>=5.3,http://techblog.wimgodden.be/tag/codesniffer/,https://github.com/PHPCompatibility/PHPCompatibility,https://packagist.org/packages/phpcompatibility/php-compatibility,9.3.5,9.3.5,2299,2026-08-05T22:13:19Z,2026-08-08,,
php-cs-fixer,PHP CS Fixer,Fixers,fixers,Fixers and refactoring,fixer,current,Active,A tool to automatically fix PHP Coding Standards issues,,code-style|autofix,php-cs-fixer,,,,composer require --dev friendsofphp/php-cs-fixer,^7.4 || ^8.0,https://github.com/FriendsOfPHP/PHP-CS-Fixer,https://github.com/PHP-CS-Fixer/PHP-CS-Fixer,https://packagist.org/packages/friendsofphp/php-cs-fixer,v3.95.18,v3.95.18,13545,2026-07-31T10:35:26Z,2026-08-08,,
php-doc-check,PHP Doc Check,Coding standards,coding-standards,Coding standards,analyzer,current,Inactive,Uses complexity metrics to determine which functions need documentation.,,documentation,generic,,,,composer require --dev niels-de-blaauw/php-doc-check,,https://github.com/NielsdeBlaauw/php-doc-check,https://github.com/NielsdeBlaauw/php-doc-check,https://packagist.org/packages/niels-de-blaauw/php-doc-check,v0.4.1,v0.4.1,43,2025-12-16T16:56:02Z,2026-08-08,,
php-formatter,PHP formatter,Coding standards,coding-standards,Coding standards,,historical,Historical,PHP Formatter is a PHP developer friendly set of tools,,,,,,,composer require --dev mmoreram/php-formatter,>=7.0,https://github.com/mmoreram/php-formatter,https://github.com/mmoreram/php-formatter,https://packagist.org/packages/mmoreram/php-formatter,v1.3.3,v1.3.3,168,2021-06-24T08:15:48Z,,,
php-inspection,PHP Inspections (EA Extended),Bugs finders,bug-finders,Bug finders,extension,current,Active,An open-source PHP static code analyzer for PhpStorm and IntelliJ IDEA Ultimate.,Deep PHP code inspections directly in JetBrains IDEs,bug-detection|code-style,jetbrains,,,,,,https://plugins.jetbrains.com/plugin/7622?pr=phpStorm,https://github.com/kalessil/phpinspectionsea,,,,1485,2026-07-09T06:24:09Z,2026-08-08,,
php-magic-number-detector,PHP Magic Number Detector,Bugs finders,bug-finders,Bug finders,analyzer,current,Quiet,PHP Magic Number Detector,,maintainability,generic,,,,composer require --dev povils/phpmnd,^7.4 || ^8.0,https://github.com/povils/phpmnd,https://github.com/povils/phpmnd,https://packagist.org/packages/povils/phpmnd,v3.6.1,v3.6.1,585,2026-02-25T09:06:20Z,2026-08-08,,
php-malware-finder,PHP-malware-finder,Bugs finders,bug-finders,Bug finders,,historical,Historical,Detect potentially malicious PHP files,,,,,,,,,https://github.com/nbs-system/php-malware-finder,https://github.com/nbs-system/php-malware-finder,,,,342,2022-02-22T16:17:08Z,,,
php-manipulator,PHP Manipulator,Misc,misc,Specialized tools,,historical,Historical,Library for Analyzing and Modifying PHP Source Code,,,,,,,,,https://github.com/schmittjoh/php-manipulator,https://github.com/schmittjoh/php-manipulator,https://packagist.org/packages/jms/php-manipulator,,,105,2014-09-27T18:10:16Z,,,
php-mess-detector,PHP Mess Detector,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,PHPMD is a spin-off project of PHP Depend and aims to be a PHP equivalent of the well known Java tool PMD. PHPMD can be seen as an user friendly frontend application for the raw metrics stream measured by PHP Depend.,,maintainability|complexity,generic,,,,composer require --dev phpmd/phpmd,>=5.3.9,https://phpmd.org,https://github.com/phpmd/phpmd,https://packagist.org/packages/phpmd/phpmd,2.15.0,2.15.0,2443,2026-08-02T15:40:29Z,2026-08-08,,
php-metrics,PHP Metrics,Metrics,metrics,Metrics and architecture,metrics,current,Active,Beautiful and understandable static analysis tool for PHP,,metrics|complexity|architecture,generic,,,,composer require --dev phpmetrics/phpmetrics,,https://github.com/Halleck45/PhpMetrics,https://github.com/phpmetrics/PhpMetrics,https://packagist.org/packages/phpmetrics/phpmetrics,2.10.0,v2.9.0,2605,2026-08-02T14:32:36Z,2026-08-08,,
php-parallel-lint,PHP-Parallel-Lint (legacy repository),Bugs finders,bug-finders,Bug finders,analyzer,historical,Historical,This tool check syntax of PHP files faster than serial check with fancier output.,,syntax,generic,,,,composer require --dev jakub-onderka/php-parallel-lint,>=5.3.3,https://github.com/JakubOnderka/PHP-Parallel-Lint,https://github.com/JakubOnderka/PHP-Parallel-Lint,https://packagist.org/packages/jakub-onderka/php-parallel-lint,v1.0.0,v0.9.2,641,2021-03-13T09:57:43Z,2026-08-08,,
php-parallel-lint-php-parallel-lint,PHP-Parallel-Lint (maintained),Bugs finders,bug-finders,Bug finders,analyzer,current,Active,This tool check syntax of PHP files faster than serial check with fancier output.,,syntax,generic,,,,composer require --dev php-parallel-lint/php-parallel-lint,>=5.3.0,https://github.com/php-parallel-lint/PHP-Parallel-Lint,https://github.com/php-parallel-lint/PHP-Parallel-Lint,https://packagist.org/packages/php-parallel-lint/php-parallel-lint,v1.4.0,v1.4.0,356,2026-07-26T21:37:41Z,2026-08-08,php-parallel-lint,
php-parser,PHP Parser,DIY,libraries-building-blocks,Libraries and building blocks,library,current,Active,A PHP parser written in PHP,,parsing|ast,generic,,,,composer require nikic/php-parser,>=7.4,https://github.com/nikic/PHP-Parser,https://github.com/nikic/PHP-Parser,https://packagist.org/packages/nikic/php-parser,v5.8.0,v5.8.0,17452,2026-07-11T16:03:14Z,2026-08-08,,
php-refactoring-browser,php-refactoring-browser,Fixers,fixers,Fixers and refactoring,,historical,Historical,A command line refactoring tool for PHP,,,,,,,composer require --dev qafoolabs/php-refactoring-browser,,https://github.com/QafooLabs/php-refactoring-browser,https://github.com/QafooLabs/php-refactoring-browser,https://packagist.org/packages/qafoolabs/php-refactoring-browser,v0.1,v0.1,548,2017-11-15T22:30:57Z,,,
php-sa,PHP SA,Bugs finders,bug-finders,Bug finders,,historical,Historical,Smart/Static Analyzer(sis) for PHP :bowtie::neckbeard:,,,,,,,composer require --dev ovr/phpsa,>=5.5,https://github.com/ovr/phpsa,https://github.com/ovr/phpsa,https://packagist.org/packages/ovr/phpsa,0.6.2,0.6.2,635,2019-02-27T06:40:47Z,,,
php-scoper,php-scoper,Fixers,fixers,Fixers and refactoring,fixer,current,Active,🔨 Prefixes all PHP namespaces in a file/directory to isolate the code bundled in PHARs.,,namespace-isolation,composer,,,,composer require --dev humbug/php-scoper,^8.2,https://github.com/humbug/php-scoper,https://github.com/humbug/php-scoper,https://packagist.org/packages/humbug/php-scoper,0.18.19,0.18.19,806,2026-07-06T18:34:53Z,2026-08-08,,
php-semantic-versioning-checker,PHP Semantic Versioning Checker,Misc,misc,Specialized tools,analyzer,current,Inactive,Compares two source sets and determines the appropriate semantic versioning to apply.,Detecting source-level API compatibility changes before publishing a PHP package release.,api-compatibility|release-management,composer,,,,composer require --dev tomzx/php-semver-checker,^8.1,https://github.com/tomzx/php-semver-checker,https://github.com/tomzx/php-semver-checker,https://packagist.org/packages/tomzx/php-semver-checker,v0.17.0,,436,2026-02-05T06:59:48Z,2026-08-08,,
php-stan,PHPStan,Bugs finders,bug-finders,Bug finders,analyzer,current,Active,PHP Static Analysis Tool - discover bugs in your code without running it!,,bug-detection|type-analysis,phpstan,,,,composer require --dev phpstan/phpstan,^7.4|^8.0,https://github.com/phpstan/phpstan,https://github.com/phpstan/phpstan,https://packagist.org/packages/phpstan/phpstan,2.2.8,2.2.8,14061,2026-08-07T11:45:52Z,2026-08-08,,
php-static-type-checker,PHP Static Type Checker,Bugs finders,bug-finders,Bug finders,analyzer,current,Quiet,Static type checker for PHP relying on the php-ast PECL extension. Mirrored from Codeberg.org,,type-analysis,generic,,,,,,https://codeberg.org/Jumping-Beaver/PHP_Static_Type_Checker,https://github.com/Jumping-Beaver/PHP_Static_Type_Checker,,,,0,2026-04-08T16:22:23Z,2026-08-08,,
php-testability,PHP testability,Bugs finders,bug-finders,Bug finders,,historical,Historical,Analyses and reports testability issues of a php codebase,,,,,,,,,https://github.com/edsonmedina/php_testability,https://github.com/edsonmedina/php_testability,https://packagist.org/packages/edsonmedina/php_testability,,,130,2022-01-27T15:18:07Z,,,
php-weaver,PHP Weaver,Fixers,fixers,Fixers and refactoring,analyzer,current,Inactive,"A combined runtime/static code-analysis tool, that can trace parameter types",,runtime-analysis|type-analysis,generic,,,,,,https://github.com/troelskn/phpweaver,https://github.com/troelskn/phpweaver,,,,85,2026-01-28T01:01:37Z,2026-08-08,,
